"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,3.52967336500212,0.974,0.256,0,"0","ST18"
"2",0,3.24179622467694,0.885,0.208,0,"0","C10orf90"
"3",0,3.35467718620987,0.88,0.214,0,"0","KCNH8"
"4",0,3.32914506644901,0.861,0.21,0,"0","ENPP2"
"5",0,3.12246638034213,0.867,0.225,0,"0","MOBP"
"6",0,3.13833630301807,0.896,0.265,0,"0","DOCK5"
"7",0,3.77717959784232,0.742,0.123,0,"0","LINC01608"
"8",0,3.05588884169025,0.915,0.3,0,"0","FRMD4B"
"9",0,3.78252634697628,0.771,0.168,0,"0","CERCAM"
"10",0,3.21665011183407,0.782,0.18,0,"0","LPAR1"
"11",0,3.28309618773328,0.744,0.148,0,"0","UGT8"
"12",0,3.23317232302381,0.866,0.271,0,"0","TMEM144"
"13",0,2.81672143806049,0.798,0.211,0,"0","BCAS1"
"14",0,3.50383900624455,0.707,0.131,0,"0","FA2H"
"15",0,3.70461219833789,0.713,0.142,0,"0","CNDP1"
"16",0,3.07025588432715,0.801,0.232,0,"0","TF"
"17",0,2.39322580785711,0.892,0.331,0,"0","ZNF536"
"18",0,3.05066755862042,0.831,0.271,0,"0","CLMN"
"19",0,3.13998689813669,0.867,0.319,0,"0","PLEKHH1"
"20",0,3.23346354943367,0.972,0.425,0,"0","RNF220"
"21",0,2.96742289695142,0.711,0.167,0,"0","SHROOM4"
"22",0,3.42969187850612,0.673,0.132,0,"0","LINC00639"
"23",0,2.59451127136355,0.937,0.407,0,"0","DOCK10"
"24",0,2.87539037018365,0.668,0.143,0,"0","SLCO1A2"
"25",0,3.01214942034877,0.704,0.182,0,"0","FAM107B"
"26",0,2.75698421476984,0.918,0.397,0,"0","NCKAP5"
"27",0,2.50501924413186,0.742,0.228,0,"0","DAAM2"
"28",0,3.23162652938261,0.626,0.113,0,"0","ABCA8"
"29",0,3.52037080295388,0.681,0.172,0,"0","AC008571.2"
"30",0,2.732713470873,0.67,0.164,0,"0","COL4A5"
"31",0,2.93103372589859,0.828,0.327,0,"0","CREB5"
"32",0,3.0634673045292,0.721,0.223,0,"0","PLD1"
"33",0,3.74077586538611,0.581,0.09,0,"0","CD22"
"34",0,3.44494324687585,0.569,0.09,0,"0","SH3TC2"
"35",0,3.34432467467575,0.572,0.098,0,"0","FOLH1"
"36",0,3.49374437874664,0.635,0.165,0,"0","AC012494.1"
"37",0,2.61717449691516,0.923,0.456,0,"0","PLP1"
"38",0,2.50780655750553,0.664,0.199,0,"0","LINC00609"
"39",0,3.06333984693273,0.611,0.147,0,"0","PIEZO2"
"40",0,2.15186781329551,0.776,0.313,0,"0","DOCK1"
"41",0,2.96885451555998,0.687,0.225,0,"0","GLDN"
"42",0,2.70449069442099,0.644,0.185,0,"0","ATP10B"
"43",0,2.96812547796497,0.697,0.238,0,"0","CDK18"
"44",0,3.46284772103358,0.558,0.101,0,"0","ASPA"
"45",0,2.89432635675757,0.587,0.14,0,"0","VRK2"
"46",0,3.12333845813039,0.803,0.36,0,"0","POLR2F"
